Tiempo,Q_DEEN,Caudal BPIL
112800,6.5995,15.8847
112900,6.46551,15.7342
113000,6.33113,15.5833
113100,6.19639,15.4318
113200,6.06131,15.2796
113300,5.92592,15.1266
113400,5.79025,14.9728
113500,5.65432,14.818
113600,5.51818,14.6623
113700,5.38186,14.5057
113800,5.24537,14.348
113900,5.10873,14.1895
114000,4.97195,14.03
114100,4.83502,13.8696
114200,4.69793,13.7085
114300,4.56065,13.5465
114400,4.42315,13.3838
114500,4.28539,13.2204
114600,4.14731,13.0563
114700,4.00888,12.8917
114800,3.87002,12.7265
114900,3.7307,12.5608
115000,3.59084,12.3947
115100,3.45041,12.2281
115200,3.30935,12.0611
115300,3.16762,11.8938
115400,3.02519,11.7262
115500,2.88202,11.5583
115600,2.7381,11.3901
115700,2.5934,11.2217
115800,2.44791,11.0531
115900,2.30163,10.8844
116000,2.15453,10.7154
116100,2.00663,10.5462
116200,1.85792,10.3769
116300,1.70839,10.2074
116400,1.55806,10.0376
116500,1.40692,9.86764
